  1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 25583, 1081, 1129, 1159, 1308, 1232, 1337, 1392, 1422, 1499, 1452, 1564, 1649, 1708, 1829, 1843, 1921, 2103, 2078, 2161, 2226, 10855779, 211929, 214182, 216641, 220115, 221562, 225975, 228398, 231453, 234527, 237812, 241221, 243316, 247135, 250435, 251799, 255825, 259970, 261783, 265914, 268193, 84298358
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28039, 1187, 1200, 1280, 1354, 1428, 1392, 1471, 1464, 1583, 1710, 1800, 1826, 1947, 1961, 1972, 2034, 2075, 2296, 2282, 2434, 11107232, 213210, 216720, 219677, 222363, 225419, 228204, 231077, 234016, 236038, 240198, 242677, 245368, 249244, 251472, 254772, 257807, 261486, 263871, 266841, 270359, 83999213
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32402, 1346, 1393, 1490, 1490, 1575, 1616, 1707, 1781, 1757, 1965, 1985, 2017, 2166, 2240, 2307, 2327, 2398, 2492, 2654, 2718, 11519629, 218331, 221042, 223408, 225798, 228647, 232415, 234825, 238470, 241041, 243383, 246651, 249157, 251219, 254574, 257766, 262029, 264525, 267099, 270535, 274032, 83503595
3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 39153, 1678, 1672, 1631, 1796, 1786, 1966, 2003, 2102, 2061, 2126, 2229, 2409, 2424, 2566, 2669, 2708, 2851, 3011, 2926, 3165, 12119553, 223197, 226347, 228598, 231886, 234336, 238233, 239838, 242644, 245832, 248367, 251246, 254479, 257144, 260885, 264759, 266393, 268933, 272537, 273723, 277451, 82788682
2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 49903, 1936, 2074, 2165, 2166, 2255, 2364, 2452, 2476, 2622, 2696, 2818, 2955, 2992, 3003, 3180, 3377, 3404, 3495, 3579, 3658, 12890044, 229315, 232544, 234958, 237753, 241967, 243294, 246464, 249237, 251665, 255167, 259328, 260800, 263286, 265965, 269014, 273133, 274072, 277151, 280333, 283549, 81875386
5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 65424, 2492, 2543, 2742, 2744, 2841, 2904, 3035, 3069, 3340, 3329, 3443, 3608, 3667, 3823, 3993, 4097, 4293, 4352, 4523, 4635, 13827862, 236983, 240191, 242400, 245789, 247764, 251189, 253912, 255739, 257966, 262130, 264485, 267139, 270098, 272587, 276464, 278675, 280062, 283727, 285705, 288911, 80775313
6, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 0, 3, 1, 89054, 3270, 3301, 3443, 3803, 3667, 3808, 3861, 4193, 4213, 4235, 4592, 4638, 4821, 4915, 5094, 5266, 5516, 5627, 5727, 5997, 14960641, 245244, 247875, 250974, 253892, 256521, 258428, 261071, 264811, 267204, 268858, 271167, 275057, 277138, 279842, 281985, 285840, 286410, 288480, 292036, 294303, 79453164
18, 0, 1, 2, 1, 0, 2, 1, 2, 1, 2, 1, 2, 2, 3, 2, 0, 3, 1, 1, 0, 121672, 4309, 4307, 4494, 4678, 4816, 4913, 5120, 5277, 5451, 5545, 5868, 5909, 6252, 6349, 6580, 6805, 7016, 7154, 7445, 7734, 16267232, 254220, 256161, 258624, 262943, 263789, 266763, 268135, 271470, 273560, 277074, 279474, 281057, 283523, 286257, 288665, 291486, 293276, 295479, 298457, 301534, 77943082
34, 0, 8, 2, 3, 2, 3, 3, 4, 1, 2, 2, 1, 5, 2, 1, 2, 2, 3, 5, 7, 170595, 5685, 5802, 6084, 6124, 6317, 6570, 6663, 7071, 7214, 7542, 7707, 7821, 8051, 8371, 8453, 8672, 9178, 9462, 9478, 9801, 17754696, 262282, 264876, 267167, 269510, 272242, 274300, 276168, 279587, 281309, 284157, 285846, 288427, 290461, 292898, 294269, 296682, 299793, 301268, 302942, 306431, 76231936
59, 3, 2, 4, 4, 2, 3, 5, 6, 6, 7, 3, 8, 2, 5, 7, 4, 7, 7, 9, 10, 239305, 7752, 7822, 7992, 8302, 8663, 9011, 8925, 9388, 9470, 9684, 9990, 10220, 10789, 10821, 11277, 11528, 11826, 12115, 12496, 12787, 19387083, 270251, 273084, 274728, 277818, 278662, 281669, 284005, 285179, 287144, 289711, 291290, 293779, 295479, 297890, 299031, 301770, 303805, 305741, 308319, 309456, 74363780
